motor,cry,fear_1,fear_2,fear_3
1,1,5,4,1
1,2,0,1,2
1,3,2,0,2
2,1,15,4,2
2,2,2,3,1
2,3,4,4,2
3,1,3,3,4
3,2,0,2,3
3,3,1,1,7
4,1,2,1,2
4,2,0,1,3
4,3,0,3,3
